What is the capital of India?,Madras,Delhi,Mumbai,Chennai,1
What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,1
Which river is the longest in the world?,Nile,Amazon,Yangtze,Mississippi,1
In which continent is the Sahara Desert located?,Africa,Asia,South America,Australia,1
What is the highest mountain in the world?,Mount Everest,K2,Kangchenjunga,Lhotse,1
Which country is known as the Land of the Rising Sun?,Japan,China,South Korea,Vietnam,1
What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,1
In which country is the Amazon Rainforest primarily located?,Brazil,Peru,Colombia,Venezuela,1
Which city is located at the mouth of the Amazon River?,Manaus,Rio de Janeiro,Belem,Santarem,1
What is the smallest country in the world?,Vatican City,Monaco,San Marino,Nauru,1
Which African country is known as the 'Rainbow Nation'?,South Africa,Nigeria,Kenya,Ethiopia,1
Which European city is divided into two parts by the Bosphorus Strait?,Istanbul,Athens,Rome,Prague,1
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,1
Which river runs through Cairo the capital of Egypt?,Nile,Tigris,Euphrates,Jordan,1
In which mountain range is Mount Kilimanjaro located?,East African Rift,Himalayas,Andes,Alps,1
Which U.S. state is known as the 'Sunshine State'?,Florida,California,Texas,Arizona,1
What is the capital of France?,Berlin,London,Paris,Madrid,3
Which planet is known as the Red Planet?,Earth,Mars,Venus,Jupiter,2
In which year did World War II end?,1943,1945,1950,1939,2
What is the largest ocean on Earth?,Atlantic,Arctic,Indian,Pacific,4
Who wrote the play "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Emily Brontë,Jane Austen,2
Which element has the chemical symbol "O"?,Oxygen,Gold,Silver,Iron,1
What is the currency of Japan?,Won,Dirham,Yen,Peso,3
Which programming language was developed by James Gosling at Sun Microsystems in 1995?,C++,Java,Python,JavaScript,2
Which famous scientist developed the theory of general relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Marie Curie,2
What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Lion,2
What is the capital of Pakistan?,Karachi,Islamabad,Lahore,Rawalpindi,2
