What is the chemical symbol for water?,H2O,CO2,O2,NaCl,1
Which gas do plants absorb during photosynthesis?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,1
What is the smallest unit of matter?,Atom,Molecule,Cell,Nucleus,1
Which planet is known as the 'Red Planet'?,Mars,Venus,Jupiter,Saturn,1
What is the process by which plants make their own food?,Photosynthesis,Respiration,Digestion,Transpiration,1
Which gas do humans breathe out during respiration?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,1
What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Uranus,1
Which element has the chemical symbol 'O'?,Oxygen,Gold,Iron,Silver,1
What is the process by which water changes from a liquid to a gas?,Evaporation,Condensation,Melting,Freezing,1
Which force pulls objects toward the center of the Earth?,Gravity,Magnetism,Friction,Tension,1
What is the powerhouse of the cell?,Mitochondria,Nucleus,Endoplasmic Reticulum,Golgi Apparatus,1
What is the largest organ in the human body?,Skin,Heart,Liver,Lungs,1
Which planet is known as the 'Blue Planet'?,Earth,Uranus,Neptune,Mercury,1
What is the main function of the kidneys in the human body?,Filtering Waste,Digestion,Breathing,Circulation,1
What is the speed of light in a vacuum?,299792 kilometers per second,150000 kilometers per second,100000 kilometers per second,200000 kilometers per second,1
What is the chemical symbol for water?,H2O,CO2,O2,NaCl,1
Which gas do plants absorb from the atmosphere during photosynthesis?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,1
What is the smallest unit of matter?,Atom,Molecule,Cell,Electron,1
What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Cytoplasm,1
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,1
What is the Earth's primary source of energy?,Sun,Moon,Stars,Fire,1
Which organ pumps blood throughout the body?,Heart,Liver,Lung,Kidney,1
What is the chemical symbol for gold?,Au,Ag,Fe,Cu,1
What gas do humans exhale during respiration?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,1
What is the process of plants making their own food using sunlight?,Photosynthesis,Respiration,Transpiration,Fermentation,1
What force keeps planets in orbit around the Sun?,Gravity,Magnetism,Friction,Centrifugal force,1
What is the hardest natural substance on Earth?,Diamond,Gold,Iron,Platinum,1
Which gas is responsible for the blue color of the sky?,Nitrogen,Oxygen,Carbon Dioxide,Helium,1
What is the chemical symbol for table salt?,NaCl,KCl,CaCl2,MgCl2,1
Which element is essential for human bone health?,Calcium,Phosphorus,Iron,Potassium,1
What is the process by which water vapor turns into liquid water?,Condensation,Evaporation,Precipitation,Sublimation,1
What is the chemical formula for the air we breathe?,N2+O2,H2O+CO2,O2+H2,N2+CO2,1
Which gas is commonly used in balloons for buoyancy?,Helium,Hydrogen,Nitrogen,Oxygen,1
What is the process of plants losing water through tiny pores called?,Transpiration,Photosynthesis,Respiration,Fermentation,1
What is the chemical symbol for oxygen?,O2,CO2,H2O,N2,1
