Who is often considered the 'Father of Western Philosophy'?,Socrates,Aristotle,Plato,Thales,3
What is the famous philosophical question posed by René Descartes?,Cogito ergo sum (I think therefore I am),Eureka! (I have found it),Carpe diem (Seize the day),Veni vidi vici (I came I saw I conquered),1
Which ancient Greek philosopher is known for his teachings on ethics and virtue?,Aristotle,Socrates,Plato,Epicurus,1
What is the philosophical concept of 'utilitarianism' associated with?,Maximizing overall happiness,Seeking individual pleasure,Emphasizing duty and responsibility,Focusing on self-interest,1
Who wrote 'The Republic' and explored the concept of an ideal state?,Plato,Aristotle,Socrates,Thales,1
What is the central theme of existentialism?,Individual freedom and responsibility,Collective harmony,Divine intervention,Determinism,1
What is the famous philosophical work by Friedrich Nietzsche that explores the concept of the 'Ubermensch'?,Thus Spoke Zarathustra,Beyond Good and Evil,The Birth of Tragedy,Ecce Homo,1
Who is the author of 'Meditations' a series of personal writings on Stoic philosophy?,Marcus Aurelius,Seneca,Epictetus,Cicero,1
What is the principle of 'Occam's Razor'?,The simplest explanation is usually the correct one,Complex problems require complex solutions,Assume nothing question everything,Everything happens for a reason,1
What branch of philosophy deals with the nature and scope of knowledge?,Epistemology,Aesthetics,Metaphysics,Ethics,1
Who is often considered the 'Father of Western Philosophy'?,Socrates,Aristotle,Plato,Thales,3
Which ancient Greek philosopher is known for his teachings on ethics and virtue?,Aristotle,Socrates,Plato,Epicurus,1
What is the philosophical concept of 'utilitarianism' associated with?,Maximizing overall happiness,Seeking individual pleasure,Emphasizing duty and responsibility,Focusing on self-interest,1
Who wrote 'The Republic' and explored the concept of an ideal state?,Plato,Aristotle,Socrates,Thales,1
What is the central theme of existentialism?,Individual freedom and responsibility,Collective harmony,Divine intervention,Determinism,1
What is the famous philosophical work by Friedrich Nietzsche that explores the concept of the 'Ubermensch'?,Thus Spoke Zarathustra,Beyond Good and Evil,The Birth of Tragedy,Ecce Homo,1
What branch of philosophy deals with the nature and scope of knowledge?,Epistemology,Aesthetics,Metaphysics,Ethics,1
What is the philosophical concept of 'categorical imperative' associated with?,Immanuel Kant,John Stuart Mill,Jean-Jacques Rousseau,Thomas Hobbes,1
What is the central idea of John Rawls' 'Veil of Ignorance' in political philosophy?,Justice should be determined without knowledge of one's personal characteristics,Justice is determined by social contract,Justice is subjective,Justice is determined by divine will,1
Who is known for his 'Wager' argument for belief in the existence of God?,Blaise Pascal,David Hume,Thomas Aquinas,Søren Kierkegaard,1
What is the philosophical concept of 'anatta' associated with in Buddhism?,No-self or non-self,Impermanence,Karma,Nirvana,1
What is the 'Ship of Theseus' thought experiment related to in metaphysics?,Identity and persistence,Time travel,Determinism,Reality and illusion,1
What is the central concept of existentialist Jean-Paul Sartre's philosophy?,Existence precedes essence,Life is suffering,God is dead,All is one,1
Who is associated with the idea of 'tabula rasa' in the philosophy of mind?,John Locke,Jean-Jacques Rousseau,Immanuel Kant,David Hume,1
